id_vendedor,distancia_empresa_km,salario,recebe_bonus
1,29.4,2800,Não
2,9.6,6700,Sim
3,12.6,6400,Sim
4,32.0,4900,Não
5,6.5,5600,Sim
6,23.5,5000,Não
7,16.7,6300,Não
8,31.9,5100,Não
9,5.2,6300,Sim
10,27.9,4900,Sim
11,14.5,5600,Não
12,19.4,5400,Sim
13,19.3,5500,Não
14,15.7,4300,Sim
15,21.6,5300,Sim
16,16.6,5000,Sim
17,27.3,2800,Sim
18,28.9,3300,Sim
19,23.0,5200,Sim
20,17.8,5900,Não
21,32.2,3900,Sim
22,21.2,2800,Sim
23,5.9,5200,Sim
24,19.9,5900,Não
25,34.1,4700,Não
26,24.3,3800,Sim
27,,6100,Sim
28,16.3,6800,Não
29,30.1,5400,Não
30,14.4,4100,Não
31,30.3,3300,Não
32,19.2,4100,Sim
33,14.8,4600,Sim
34,29.2,3700,Não
35,7.1,4900,Não
36,33.1,5500,Sim
37,5.4,7200,Não
38,11.8,6100,Sim
39,12.3,7800,Sim
40,26.0,6400,Não
41,6.4,7700,Não
42,32.4,5400,Sim
43,25.9,4600,Não
44,32.4,5100,Sim
45,10.7,5800,Não
46,30.4,5500,Sim
47,6.2,5900,Não
48,18.1,5300,Sim
49,14.1,6500,Não
50,33.6,2800,Não
51,30.5,6000,Não
52,8.5,5900,Não
53,9.2,2800,Sim
54,33.5,4600,Sim
55,34.0,6400,Sim
56,15.1,5200,Não
57,5.2,6300,Não
58,22.4,5200,Não
59,28.4,5200,Não
60,8.1,5000,Não
61,22.4,4900,Sim
62,3.0,5000,Sim
63,16.4,,Sim
64,22.2,5700,Não
65,6.6,4500,Sim
66,11.5,5000,Sim
67,8.2,6100,Sim
68,24.5,4400,Não
69,30.9,2900,Sim
70,24.0,3700,Sim
71,23.6,3300,Não
72,17.2,5200,Sim
73,14.9,4700,Não
74,4.7,5700,Sim
75,19.3,4100,Não
76,10.5,4700,Sim
77,8.5,4300,Não
78,6.3,5900,Não
79,29.8,5900,Não
80,4.2,6300,Sim
81,5.6,5800,Sim
82,20.4,6100,Não
83,3.4,4100,Sim
84,20.9,6500,Sim
85,16.4,4200,Não
86,5.4,5100,Não
87,3.4,4800,Não
88,24.9,4100,Sim
89,18.2,5400,Não
90,29.8,6200,Não
91,6.8,6100,Sim
92,34.8,4800,Não
93,5.2,5700,Sim
94,8.5,2900,Não
95,32.8,5000,Não
96,25.4,5800,Sim
97,29.3,4400,Sim
98,21.2,7100,Sim
99,13.7,3900,Sim
100,27.8,5600,Não
101,6.8,4700,Não
102,7.9,4000,Não
103,9.4,5200,Não
104,,6600,Não
105,2.2,5100,Não
106,12.6,6200,Sim
107,2.2,6800,Não
108,11.9,6600,Não
109,9.4,5800,Sim
110,23.5,7800,Sim
111,15.0,4400,Sim
112,11.1,4700,Sim
113,19.6,4700,Sim
114,10.0,4800,Não
115,23.2,5900,Não
117,2.3,4400,Sim
118,22.8,5200,Sim
119,31.4,2800,Não
