id_vendedor,nome,idade,horas_treinamento,faltas,numero_clientes,vendas_mes
1,Vendedor 001,29,9.0,6,34,47143.64
2,Vendedor 002,31,11.9,3,42,65268.15
3,Vendedor 003,23,7.7,3,52,66957.08
4,Vendedor 004,34,8.8,2,51,55819.75
5,Vendedor 005,57,10.3,1,33,49876.68
6,Vendedor 006,29,5.8,4,24,31561.77
7,Vendedor 007,28,7.4,4,29,42205.23
8,Vendedor 008,51,4.8,2,12,56298.57
9,Vendedor 009,41,13.3,1,37,60890.49
10,Vendedor 010,47,6.4,0,25,45475.39
11,Vendedor 011,24,4.6,4,12,29952.04
12,Vendedor 012,35,2.7,3,26,25876.84
13,Vendedor 013,39,10.5,3,23,37074.77
14,Vendedor 014,48,4.1,4,44,53773.79
15,Vendedor 015,44,12.8,3,43,65815.13
16,Vendedor 016,31,10.7,1,29,52929.22
17,Vendedor 017,32,10.3,2,44,65999.69
18,Vendedor 018,50,,4,42,58163.51
19,Vendedor 019,49,12.0,3,35,49869.53
20,Vendedor 020,37,11.5,3,33,46399.11
21,Vendedor 021,38,13.6,2,46,63623.39
22,Vendedor 022,38,4.0,2,33,45051.73
23,Vendedor 023,48,4.6,2,51,65361.32
24,Vendedor 024,40,12.2,1,39,64087.04
25,Vendedor 025,49,11.6,3,14,20017.28
26,Vendedor 026,26,14.4,2,33,56177.98
27,Vendedor 027,45,4.9,5,46,52564.52
28,Vendedor 028,57,8.2,2,50,77616.14
29,Vendedor 029,47,6.0,5,42,53452.97
30,Vendedor 030,43,13.1,4,25,46075.43
31,Vendedor 031,54,6.4,3,38,34265.45
32,Vendedor 032,24,6.3,4,33,43198.73
33,Vendedor 033,46,9.2,1,46,53950.84
34,Vendedor 034,47,6.0,2,23,34314.46
35,Vendedor 035,26,6.3,1,27,33625.32
36,Vendedor 036,41,7.6,1,37,55836.72
37,Vendedor 037,50,6.0,3,24,37684.57
38,Vendedor 038,36,4.4,0,37,62460.16
39,Vendedor 039,22,6.0,1,34,45197.98
40,Vendedor 040,57,3.0,4,35,44405.46
41,Vendedor 041,23,10.8,2,26,40545.77
42,Vendedor 042,25,9.6,4,23,40753.44
43,Vendedor 043,39,4.7,5,31,34427.17
44,Vendedor 044,36,6.7,,44,49020.94
45,Vendedor 045,54,4.7,2,38,42763.3
46,Vendedor 046,30,14.5,7,24,43667.54
47,Vendedor 047,28,6.8,3,36,58958.6
48,Vendedor 048,31,6.4,6,36,23930.77
49,Vendedor 049,38,5.0,3,39,51040.17
50,Vendedor 050,58,8.9,1,33,39583.21
51,Vendedor 051,22,5.2,1,36,56927.66
52,Vendedor 052,38,3.5,0,26,41381.16
53,Vendedor 053,32,7.9,1,51,60872.16
54,Vendedor 054,57,3.5,5,43,42646.25
55,Vendedor 055,37,8.0,1,34,53550.43
56,Vendedor 056,35,11.1,5,27,38648.68
57,Vendedor 057,58,11.6,3,32,50003.16
58,Vendedor 058,32,8.6,5,43,64515.44
59,Vendedor 059,47,11.6,3,21,28359.76
60,Vendedor 060,41,5.7,5,35,48566.04
61,Vendedor 061,46,7.3,3,34,38343.83
62,Vendedor 062,29,10.4,5,45,57543.71
63,Vendedor 063,45,4.0,1,49,56802.72
64,Vendedor 064,49,8.8,4,22,41318.18
65,Vendedor 065,39,9.3,4,49,58438.42
66,Vendedor 066,39,7.4,0,50,72043.39
67,Vendedor 067,26,10.9,1,,50993.64
68,Vendedor 068,37,9.8,3,32,49494.91
69,Vendedor 069,37,11.3,2,34,55763.79
70,Vendedor 070,28,7.5,2,28,41251.94
71,Vendedor 071,26,11.5,4,37,52568.69
72,Vendedor 072,25,8.3,4,53,69910.81
73,Vendedor 073,46,1.0,2,38,45366.82
74,Vendedor 074,53,10.7,3,42,55876.47
75,Vendedor 075,39,14.1,5,30,49572.58
76,Vendedor 076,27,8.1,3,44,51148.59
77,Vendedor 077,54,6.0,3,42,53735.21
78,Vendedor 078,56,8.3,2,27,36571.41
79,Vendedor 079,28,7.4,1,22,25946.25
80,Vendedor 080,22,6.2,3,42,64499.18
81,Vendedor 081,31,11.1,3,49,69961.22
82,Vendedor 082,22,8.4,2,31,39048.65
83,Vendedor 083,25,7.5,3,47,58771.88
84,Vendedor 084,27,8.8,1,27,39939.01
85,Vendedor 085,40,10.9,4,43,67765.48
86,Vendedor 086,24,8.4,4,43,53018.86
